# file...... out_power_meter4.csv
# date...... Tue Nov 27 06:36:39 2018
# user...... gcezar
# host...... (null)
# target.... meter 592
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_power.real, measured_power.imag
2015-07-01 00:00:00 UTC,+30885.3,+1320.72
2015-07-01 00:01:00 UTC,+30754.5,+1259.59
2015-07-01 00:02:00 UTC,+30783.3,+1282.84
2015-07-01 00:03:00 UTC,+31101.5,+1459.4
2015-07-01 00:04:00 UTC,+31220.9,+1531.23
2015-07-01 00:05:00 UTC,+31263.6,+1556.33
2015-07-01 00:06:00 UTC,+37402.7,+1770.1
2015-07-01 00:07:00 UTC,+38026.7,+2109.69
2015-07-01 00:08:00 UTC,+37963.5,+2075.24
2015-07-01 00:09:00 UTC,+38089.9,+2144.13
2015-07-01 00:10:00 UTC,+38025.7,+2109.11
2015-07-01 00:11:00 UTC,+31562.3,+1714.91
2015-07-01 00:12:00 UTC,+31698,+1787.04
2015-07-01 00:13:00 UTC,+31687.6,+1781.49
2015-07-01 00:14:00 UTC,+31545.6,+1706.04
2015-07-01 00:15:00 UTC,+31598.9,+1734.33
2015-07-01 00:16:00 UTC,+31410.9,+1634.49
2015-07-01 00:17:00 UTC,+31402.5,+1630.06
2015-07-01 00:18:00 UTC,+38334.6,+2277.48
2015-07-01 00:19:00 UTC,+38199.9,+2204.02
2015-07-01 00:20:00 UTC,+38358.4,+2290.48
2015-07-01 00:21:00 UTC,+38434.1,+2331.75
2015-07-01 00:22:00 UTC,+38735.5,+2496.34
2015-07-01 00:23:00 UTC,+32140.6,+2022.51
2015-07-01 00:24:00 UTC,+38820.5,+2542.74
2015-07-01 00:25:00 UTC,+38537.7,+2388.29
2015-07-01 00:26:00 UTC,+38711.7,+2483.32
2015-07-01 00:27:00 UTC,+38495,+2364.53
2015-07-01 00:28:00 UTC,+38677.4,+2464.08
2015-07-01 00:29:00 UTC,+31974.8,+1934.15
2015-07-01 00:30:00 UTC,+32184.6,+2045.83
2015-07-01 00:31:00 UTC,+31826.6,+1855.29
2015-07-01 00:32:00 UTC,+31878.8,+1883.05
2015-07-01 00:33:00 UTC,+31847.5,+1866.39
2015-07-01 00:34:00 UTC,+32124.1,+2013.59
2015-07-01 00:35:00 UTC,+32234.7,+2072.5
2015-07-01 00:36:00 UTC,+32260.7,+2086.42
2015-07-01 00:37:00 UTC,+32005,+1950.28
2015-07-01 00:38:00 UTC,+31991.4,+1943.06
2015-07-01 00:39:00 UTC,+31738.8,+1808.69
2015-07-01 00:40:00 UTC,+31701.2,+1788.71
2015-07-01 00:41:00 UTC,+31894.3,+1891.41
2015-07-01 00:42:00 UTC,+31744.1,+1811.44
2015-07-01 00:43:00 UTC,+38391.1,+2307.99
2015-07-01 00:44:00 UTC,+38145.5,+2174.06
2015-07-01 00:45:00 UTC,+38129.4,+2165.6
2015-07-01 00:46:00 UTC,+37814.2,+1993.97
2015-07-01 00:47:00 UTC,+37847.4,+2012.02
2015-07-01 00:48:00 UTC,+31503.8,+1683.85
2015-07-01 00:49:00 UTC,+31517.4,+1691.06
2015-07-01 00:50:00 UTC,+31529.9,+1697.71
2015-07-01 00:51:00 UTC,+31387.9,+1622.29
2015-07-01 00:52:00 UTC,+31490.3,+1676.64
2015-07-01 00:53:00 UTC,+31156,+1499.25
2015-07-01 00:54:00 UTC,+31259.4,+1554.11
2015-07-01 00:55:00 UTC,+31286.6,+1568.52
2015-07-01 00:56:00 UTC,+31217.7,+1531.94
2015-07-01 00:57:00 UTC,+31252.1,+1550.23
2015-07-01 00:58:00 UTC,+30995.2,+1413.95
2015-07-01 00:59:00 UTC,+18536.8,+882.576
2015-07-01 01:00:00 UTC,+18343.9,+783.854
2015-07-01 01:01:00 UTC,+18400.2,+812.664
2015-07-01 01:02:00 UTC,+25360.5,+1325.47
2015-07-01 01:03:00 UTC,+25250.8,+1267.78
2015-07-01 01:04:00 UTC,+25467.2,+1381.55
